,MO,SLAT,SLON,MAG
12352,5,33.7686,-92.0312,1
12353,11,29.97,-92.13,0
12354,9,32.76,-92.65,0
12355,4,32.6,-92.7,0
12356,5,29.924,-92.6714,0
12357,4,32.3,-91.78,1
12358,1,33.13,-91.95,2
12359,9,32.83,-92.68,0
12360,5,32.7,-92.47,1
12361,10,34.6958,-92.4557,0
12362,9,31.71,-92.22,0
12363,2,30.0,-91.82,0
12364,11,30.1957,-92.6604,0
12365,5,32.42,-92.65,1
12366,3,30.22,-92.02,1
12367,9,31.95,-92.19,0
12368,5,32.68,-91.78,1
12369,11,30.2729,-92.5989,0
12370,9,32.27,-92.16,0
12371,5,33.95,-91.83,0
12372,3,30.92,-92.18,1
12373,11,30.3016,-92.5126,1
12374,9,32.7,-92.13,0
12375,5,32.42,-92.78,2
12376,4,30.43,-92.32,0
12377,11,30.3897,-92.3996,1
12378,9,33.12,-92.2,0
12379,5,32.58,-92.22,0
12380,9,33.34,-92.13,0
12381,5,30.12,-92.13,0
12382,5,31.38,-92.5,1
12383,11,30.4439,-92.3238,1
12384,9,34.44,-92.69,1
12385,9,34.52,-92.86,1
12386,6,31.03,-91.98,2
12387,11,30.4768,-92.2252,1
12388,5,29.98,-92.23,0
12389,11,32.63,-91.77,2
12390,9,33.03,-92.19,0
12391,11,30.4932,-92.1891,1
12392,6,30.27,-91.9,1
12393,4,32.75,-92.62,1
12394,9,34.62,-92.88,1
12395,7,31.42,-92.42,0
12396,11,31.7947,-92.808,4
12397,9,32.12,-92.71,0
12398,7,34.17,-91.8,0
12399,11,32.2802,-92.1872,1
12400,9,31.66,-92.88,0
12401,10,30.23,-92.12,0
12402,11,30.42,-92.1662,0
12403,10,30.3,-92.37,1
12404,12,31.09,-92.73,1
12405,10,30.23,-92.75,1
12406,11,30.4366,-92.1172,0
12407,12,31.31,-92.54,1
12408,10,30.1,-91.83,0
12409,12,31.4846,-92.2055,0
12410,12,31.69,-92.21,2
12411,2,34.7782,-92.8653,1
12412,3,32.2421,-92.7312,1
12413,11,34.5,-92.35,2
12414,3,31.2439,-92.7743,0
12415,1,33.92,-92.63,3
12416,2,34.7304,-92.0772,1
12417,2,31.3,-92.52,1
12418,3,32.3617,-92.259,0
12419,2,31.27,-92.48,1
12420,2,34.7708,-91.9045,1
12421,1,34.28,-92.12,1
12422,4,33.0077,-92.1705,1
12423,2,31.67,-91.85,1
12424,4,33.0134,-92.0012,2
12425,3,34.0,-91.85,0
12426,3,30.1088,-92.8309,0
12427,3,30.1542,-92.7322,0
12428,4,32.4807,-92.8134,1
12429,4,31.6,-91.83,1
12430,1,34.42,-91.95,1
12431,3,30.2344,-92.4003,0
12432,4,32.4184,-92.5302,2
12433,5,30.15,-92.67,1
12434,5,30.23,-92.22,2
12435,3,30.219,-92.3142,2
12436,4,30.575,-92.0706,0
12437,4,30.7077,-91.8452,0
12438,5,30.23,-92.05,1
12439,1,34.2,-92.92,1
12440,3,31.1902,-92.4322,1
12441,4,30.5383,-91.7789,0
12442,5,30.15,-92.08,1
12443,3,31.1645,-92.577,1
12444,5,32.3138,-92.8785,0
12445,1,34.2,-92.87,1
12446,5,29.93,-91.82,1
12447,3,31.3333,-92.3372,0
12448,6,31.13,-92.07,1
12449,5,32.073,-92.661,2
12450,4,33.318,-92.665,1
12451,6,32.55,-92.03,1
12452,1,34.3,-92.72,3
12453,6,32.5,-92.03,1
12454,5,31.8171,-91.7566,0
12455,4,31.72,-92.41,1
12456,6,32.72,-91.98,1
12457,5,30.2064,-91.7322,1
12458,1,34.55,-92.42,3
12459,4,31.8,-92.13,2
12460,5,33.679,-91.8181,1
12461,6,32.48,-91.87,1
12462,4,34.451,-92.6176,1
12463,6,32.55,-92.22,1
12464,6,29.8466,-92.0563,0
12465,4,34.4806,-92.4726,1
12466,7,34.1932,-92.144,0
12467,1,34.67,-92.2,2
12468,4,34.7501,-92.3773,1
12469,6,30.72,-92.4,1
12470,7,33.8775,-92.6651,1
12471,4,34.6586,-92.2941,1
12472,7,33.13,-92.73,0
12473,10,32.7483,-92.2661,1
12474,1,34.82,-92.1,0
12475,7,30.32,-92.48,0
12476,4,34.5988,-92.1469,1
12477,8,30.22,-92.37,1
12478,10,30.05,-92.75,0
12479,1,30.42,-92.32,0
12480,1,31.3,-92.47,2
12481,4,34.6494,-91.965,2
12482,10,30.2132,-92.716,1
12483,1,31.8,-91.98,0
12484,2,32.1,-92.95,1
12485,1,31.63,-92.27,0
12486,2,32.87,-91.92,1
12487,10,30.4338,-92.7041,0
12488,2,34.42,-92.25,0
12489,4,34.8767,-92.6957,1
12490,1,31.77,-91.83,1
12491,10,30.4819,-92.699,1
12492,2,30.3,-92.2,1
12493,4,34.872,-92.1702,2
12494,1,32.87,-92.42,1
12495,10,30.5757,-92.6834,0
12496,2,32.93,-92.57,1
12497,4,34.5281,-92.0547,1
12498,10,30.707,-92.6702,0
12499,3,33.82,-92.42,2
12500,10,32.7864,-92.6643,0
12501,4,34.5273,-91.9124,1
12502,1,34.32,-92.65,1
12503,3,30.4,-92.22,1
12504,10,33.0833,-92.5459,0
12505,5,32.98,-92.6,1
12506,4,32.3701,-92.8346,1
12507,5,33.07,-92.68,0
12508,10,33.2872,-92.8425,1
12509,1,32.28,-92.88,1
12510,7,30.68,-92.3,1
12511,10,33.2872,-92.8425,1
12512,4,32.4376,-92.6858,0
12513,4,32.93,-92.77,1
12514,10,33.3485,-92.781,1
12515,8,30.0,-91.82,0
12516,10,33.6446,-92.6805,2
12517,9,30.68,-92.27,1
12518,4,32.4667,-92.4302,0
12519,1,32.18,-92.6,1
12520,9,31.47,-91.72,1
12521,4,32.5782,-91.9948,0
12522,10,33.8185,-92.5928,1
12523,12,31.25,-92.22,1
12524,4,32.76,-91.97,0
12525,3,30.0,-92.28,1
12526,4,32.9086,-91.9993,1
12527,1,32.58,-92.62,1
12528,3,30.48,-92.32,1
12529,4,33.2,-92.67,2
12530,4,31.812,-92.328,0
12531,1,31.57,-92.78,0
12532,4,34.87,-92.1,1
12533,4,31.7,-91.83,1
12534,5,34.3299,-92.8382,0
12535,4,33.2,-92.67,0
12536,5,32.755,-92.3901,0
12537,1,30.83,-92.85,0
12538,5,30.87,-92.8,0
12539,5,32.782,-92.448,1
12540,5,30.22,-92.67,0
12541,9,30.1641,-92.1471,0
12542,1,30.95,-92.57,0
12543,1,33.7634,-92.5452,2
12544,5,30.23,-92.05,0
12545,6,30.12,-91.85,0
12546,1,34.5156,-91.9074,1
12547,3,30.45,-91.75,1
12548,11,30.08,-91.9,2
12549,3,34.23,-92.73,1
12550,1,34.1347,-91.8409,1
12551,11,31.12,-92.25,2
12552,1,31.14,-92.73,0
12553,11,32.6,-92.78,1
12554,3,30.03,-92.52,0
12555,1,30.22,-92.02,1
12556,4,32.82,-92.87,3
12557,1,31.33,-92.72,0
12558,3,30.33,-92.48,2
12559,11,32.02,-92.63,1
12560,1,31.27,-92.33,0
12561,4,34.43,-91.9,1
12562,3,30.5,-92.32,1
12563,11,32.77,-92.53,1
12564,1,29.7179,-92.7626,0
12565,11,32.1,-92.5,1
12566,1,30.2286,-92.1415,0
12567,4,33.87,-92.8,1
12568,2,30.64,-92.83,0
12569,11,32.2,-92.33,1
12570,2,30.0241,-92.6377,0
12571,9,30.53,-91.97,0
12572,2,34.58,-92.65,1
12573,11,32.18,-92.05,1
12574,3,30.27,-92.62,1
12575,2,34.6,-92.22,0
12576,2,34.63,-92.13,0
12577,11,31.58,-92.55,2
12578,3,31.9817,-92.8959,0
12579,2,33.48,-92.78,1
12580,11,31.38,-92.43,2
12581,4,30.62,-92.43,1
12582,10,34.3331,-92.2416,1
12583,3,32.0508,-92.4855,0
12584,10,34.6684,-92.0802,0
12585,4,30.3,-92.73,1
12586,11,30.05,-91.92,2
12587,3,30.073,-92.6798,1
12588,10,33.66,-92.8705,2
12589,4,30.37,-92.65,0
12590,3,29.9746,-92.5181,2
12591,11,31.47,-91.72,2
12592,4,30.37,-92.48,0
12593,3,29.8816,-92.1028,0
12594,10,34.2839,-92.526,1
12595,3,29.9477,-92.0917,1
12596,12,30.53,-92.08,1
12597,4,30.45,-92.17,1
12598,10,34.1632,-92.0152,1
12599,3,32.0427,-92.131,1
12600,2,30.03,-91.78,0
12601,4,32.3,-92.45,1
12602,3,32.23,-92.52,1
12603,4,31.7,-92.1,2
12604,12,30.7703,-92.1534,2
12605,6,34.684,-91.786,0
12606,3,32.27,-92.27,1
12607,5,34.75,-92.52,1
12608,10,34.6159,-91.8358,0
12609,12,30.24,-92.4,2
12610,5,34.85,-92.55,0
12611,11,34.5,-92.63,2
12612,12,34.2969,-92.448,1
12613,12,30.8485,-92.1243,0
12614,11,30.9,-92.22,2
12615,12,30.95,-92.18,1
12616,2,34.58,-92.38,2
12617,12,30.9143,-92.0981,0
12618,12,30.3442,-92.3752,0
12619,7,34.73,-92.48,1
12620,2,34.77,-92.17,1
12621,3,30.13,-91.83,1
12622,12,30.38,-92.35,0
12623,7,34.9,-92.3,1
12624,4,31.42,-91.87,1
12625,2,34.77,-91.95,1
12626,8,29.83,-92.25,1
12627,4,31.43,-91.8,1
12628,12,30.4239,-92.3223,1
12629,12,30.3647,-92.505,1
12630,12,30.47,-92.31,0
12631,3,29.83,-92.3,0
12632,12,30.4803,-92.307,0
12633,3,33.2,-92.67,1
12634,4,34.73,-91.77,1
12635,12,29.98,-92.53,2
12636,5,30.12,-92.15,1
12637,11,31.13,-92.0,2
12638,2,34.52,-91.8,1
12639,4,32.2,-92.33,1
12640,6,32.93,-91.98,0
12641,5,30.95,-92.18,1
12642,11,32.73,-91.92,1
12643,12,30.5178,-92.3095,0
12644,10,30.23,-92.27,1
12645,6,32.5,-92.13,1
12646,4,32.57,-92.05,1
12647,6,34.8,-91.73,1
12648,12,32.25,-92.75,1
12649,10,30.03,-92.13,1
12650,6,31.8,-91.83,2
12651,11,32.33,-92.5,1
12652,11,34.2,-92.0,0
12653,4,32.6,-92.0,1
12654,12,30.6,-92.17,1
12655,6,30.53,-92.13,1
12656,11,31.55,-92.73,1
12657,1,31.52,-92.23,1
12658,12,31.35,-92.15,0
12659,6,32.53,-92.03,0
12660,4,30.95,-91.97,1
12661,11,31.85,-92.4,0
12662,1,30.23,-92.18,1
12663,1,30.3,-92.05,2
12664,6,30.95,-91.97,0
12665,1,30.25,-92.75,1
12666,11,32.0,-92.27,1
12667,8,31.62,-92.78,1
12668,1,30.95,-92.58,1
12669,1,29.97,-92.17,0
12670,1,31.23,-92.17,2
12671,1,30.95,-92.07,1
12672,11,31.05,-91.8,2
12673,9,29.97,-92.13,1
12674,1,30.1,-91.9,1
12675,4,30.23,-92.67,0
12676,11,32.53,-92.53,1
12677,10,30.1,-92.68,3
12678,1,31.15,-92.5,1
12679,2,33.5,-92.1,3
12680,11,34.02,-92.9,1
12681,5,31.32,-92.4,1
12682,2,32.55,-92.67,2
12683,3,31.58,-92.67,0
12684,10,30.48,-91.98,1
12685,11,32.6,-92.42,1
12686,3,31.45,-91.83,0
12687,10,30.18,-92.07,3
12688,11,32.43,-92.98,1
12689,3,34.42,-92.82,2
12690,5,30.08,-92.43,1
12691,3,29.97,-92.13,0
12692,1,29.75,-92.4,1
12693,7,32.52,-92.05,1
12694,11,33.27,-92.58,1
12695,3,29.82,-91.8,0
12696,1,30.3,-91.98,0
12697,7,32.52,-92.83,2
12698,4,32.85,-91.9,2
12699,6,30.35,-92.67,1
12700,1,31.48,-92.3,1
12701,7,31.05,-92.0,0
12702,11,33.58,-92.22,2
12703,4,31.7,-91.83,0
12704,1,30.22,-92.65,1
12705,7,30.33,-92.7,0
12706,11,33.85,-91.95,2
12707,6,30.23,-92.1,2
12708,4,32.48,-92.12,0
12709,1,30.17,-92.58,1
12710,7,32.5,-92.1,1
12711,4,32.33,-92.23,0
12712,12,34.63,-92.82,0
12713,9,33.33,-92.55,2
12714,6,30.07,-92.52,1
12715,1,30.52,-92.18,1
12716,4,31.77,-92.38,1
12717,12,34.75,-92.52,0
12718,2,30.1,-92.8,2
12719,2,31.67,-92.9,1
12720,5,30.82,-92.67,1
12721,4,34.4,-92.4,3
12722,12,31.93,-92.62,1
12723,2,34.67,-92.38,3
12724,5,30.8,-92.55,1
12725,8,30.23,-92.27,1
12726,5,34.43,-92.72,1
12727,4,32.83,-92.4,1
12728,5,30.03,-91.78,1
12729,2,33.55,-92.25,1
12730,7,34.88,-92.53,0
12731,8,32.92,-91.9,1
12732,5,30.3,-92.33,0
12733,10,34.53,-92.4,2
12734,3,30.03,-91.93,2
12735,10,30.22,-92.02,0
12736,7,30.0,-92.27,1
12737,12,31.22,-92.17,0
12738,10,30.2,-92.35,1
12739,3,33.15,-92.55,1
12740,8,32.9,-92.25,0
12741,1,30.57,-92.32,1
12742,3,34.7,-92.38,2
12743,3,33.55,-92.12,4
12744,10,30.27,-92.27,0
12745,3,33.27,-92.88,0
12746,4,32.52,-92.83,1
12747,8,32.58,-92.35,1
12748,10,30.22,-92.02,0
12749,4,32.42,-92.15,1
12750,4,31.38,-92.68,0
12751,4,33.12,-91.97,2
12752,5,30.03,-91.88,0
12753,10,30.18,-92.47,0
12754,4,33.05,-92.1,0
12755,4,32.67,-91.75,1
12756,11,29.97,-92.12,1
12757,10,30.22,-92.1,0
12758,4,33.05,-92.1,0
12759,4,31.15,-92.5,2
12760,5,34.02,-92.9,3
12761,10,30.4,-92.4,0
12762,4,33.02,-91.9,1
12763,4,30.07,-92.82,1
12764,10,30.88,-92.42,0
12765,5,34.57,-92.57,0
12766,10,30.42,-92.32,0
12767,4,30.13,-92.5,1
12768,4,30.17,-92.5,0
12769,5,34.6,-92.48,0
12770,10,30.63,-92.42,0
12771,9,33.5,-92.67,1
12772,4,30.2,-91.98,1
12773,4,30.07,-92.73,0
12774,10,31.23,-92.47,0
12775,9,34.37,-92.8,2
12776,4,30.9,-92.4,1
12777,12,30.932,-92.896,0
12778,9,34.45,-92.68,2
12779,5,30.67,-92.93,3
12780,4,30.17,-91.97,1
12781,12,31.36,-92.487,2
12782,10,31.4,-92.28,1
12783,4,30.03,-91.88,2
12784,9,34.68,-92.28,0
12785,5,30.0,-92.28,2
12786,12,31.3,-92.453,2
12787,10,31.15,-92.5,0
12788,4,34.87,-92.48,2
12789,11,32.5,-92.12,1
12790,5,33.95,-92.85,2
12791,12,31.502,-91.905,1
12792,10,30.45,-92.37,2
12793,5,30.68,-92.27,1
12794,5,34.53,-91.97,2
12795,1,30.265,-91.901,1
12796,11,32.53,-92.78,2
12797,5,30.23,-92.82,2
12798,1,29.952,-91.779,1
12799,10,30.6,-92.17,2
12800,3,34.15,-93.0,4
12801,12,32.88,-92.53,2
12802,1,30.255,-91.828,1
12803,3,34.52,-92.52,4
12804,5,30.17,-92.48,2
12805,5,33.9,-92.2,0
12806,1,34.4992,-92.1013,0
12807,5,30.23,-92.18,1
12808,5,30.0,-92.3,1
12809,1,33.6486,-91.7432,0
12810,3,34.58,-92.4,2
12811,12,34.62,-92.77,0
12812,5,30.23,-92.27,1
12813,2,32.4,-92.1,3
12814,4,33.0432,-91.97,1
12815,12,33.22,-91.95,0
12816,5,30.22,-92.37,2
12817,3,34.62,-92.35,4
12818,3,32.4,-92.7,0
12819,5,34.7876,-92.8137,1
12820,5,30.43,-92.3,2
12821,5,34.8896,-92.3925,1
12822,3,34.68,-92.23,2
12823,3,32.3,-92.75,2
12824,5,34.4355,-92.5823,1
12825,7,34.33,-92.75,1
12826,3,34.87,-91.98,2
12827,10,30.751,-92.4289,0
12828,3,32.5,-92.0,0
12829,8,30.52,-92.05,0
12830,5,29.88,-92.08,0
12831,10,30.2833,-92.5934,0
12832,4,30.13,-92.35,2
12833,8,30.52,-92.05,0
12834,12,34.431,-92.188,0
12835,5,34.87,-92.17,1
12836,12,32.6405,-92.377,1
12837,5,33.53,-92.45,2
12838,1,31.37,-91.82,1
12839,10,30.42,-92.88,0
12840,6,30.8,-92.67,2
12841,2,34.73,-92.28,1
12842,10,30.43,-92.6,1
12843,6,32.17,-92.23,0
12844,3,32.48,-91.85,2
12845,11,30.22,-92.02,1
12846,3,30.43,-92.7,2
12847,11,31.2,-92.75,1
12848,1,30.75,-92.42,1
12849,2,30.83,-92.27,1
12850,4,34.67,-92.23,1
12851,11,32.75,-91.72,3
12852,4,34.73,-92.1,0
12853,7,30.43,-92.4,1
12854,11,30.5,-92.08,1
12855,4,34.73,-92.07,0
12856,3,32.43,-92.73,0
12857,11,30.8,-91.8,2
12858,4,34.5,-92.7,1
12859,3,32.53,-92.63,1
12860,4,30.12,-92.9,1
12861,5,30.27,-92.55,0
12862,4,34.7,-92.55,0
12863,3,32.77,-92.4,1
12864,7,30.2,-92.03,1
12865,5,33.65,-92.8,0
12866,8,34.1,-91.75,2
12867,3,32.13,-92.05,1
12868,12,30.15,-92.03,2
12869,6,34.92,-92.15,1
12870,12,30.0,-92.27,3
12871,3,32.45,-91.97,1
12872,4,32.63,-93.08,1
12873,3,32.68,-91.87,1
12874,6,34.83,-92.07,1
12875,3,32.1,-92.53,2
12876,6,34.77,-91.93,1
12877,5,30.73,-92.3,2
12878,3,30.37,-91.88,1
12879,9,30.08,-92.75,1
12880,5,32.2,-92.0,1
12881,3,30.55,-91.95,1
12882,9,30.18,-92.5,0
12883,5,30.52,-92.12,2
12884,3,30.2,-92.18,2
12885,5,30.08,-92.67,2
12886,9,30.48,-92.6,1
12887,9,30.75,-92.67,0
12888,9,30.1,-91.97,0
12889,6,31.33,-92.55,3
12890,4,31.0,-92.3,1
12891,9,30.53,-92.08,0
12892,9,34.78,-91.75,0
12893,4,30.3,-91.95,3
12894,9,34.78,-91.9,0
12895,4,34.78,-91.83,0
12896,9,30.1,-91.68,1
12897,5,30.8,-92.43,1
12898,3,33.4,-92.1,0
12899,6,30.22,-92.15,1
12900,3,30.23,-92.6,1
12901,6,30.07,-92.38,0
12902,3,30.5,-92.65,0
12903,9,29.95,-91.92,2
12904,3,34.62,-92.43,0
12905,10,32.28,-92.72,1
12906,3,33.18,-92.8,2
12907,11,30.0,-92.52,2
12908,11,30.03,-92.52,0
12909,3,33.15,-92.47,3
12910,12,34.58,-91.93,0
12911,1,34.32,-92.5,1
12912,4,32.7,-92.5,2
12913,12,33.02,-92.2,0
12914,1,34.45,-92.18,0
12915,6,33.35,-92.08,3
12916,12,34.23,-91.75,0
12917,11,31.5,-92.15,1
12918,1,33.6,-92.83,1
12919,12,33.72,-92.67,0
12920,1,32.13,-92.3,3
12921,1,33.58,-92.85,0
12922,12,33.5,-92.6,0
12923,4,33.62,-92.05,0
12924,12,33.5,-92.55,0
12925,3,33.62,-91.92,2
12926,4,33.28,-91.97,2
12927,12,33.65,-92.33,1
12928,3,30.6,-92.33,1
12929,4,34.72,-92.08,1
12930,2,29.95,-92.0,1
12931,4,31.08,-92.08,1
12932,5,32.77,-92.23,1
12933,4,30.0,-92.25,1
12934,3,31.3,-92.07,0
12935,5,32.42,-92.08,1
12936,3,31.4,-91.95,0
12937,4,34.8,-92.25,2
12938,5,30.17,-92.0,1
12939,5,34.33,-92.23,0
12940,3,31.5,-91.75,0
12941,6,34.52,-91.97,0
12942,9,30.65,-92.82,0
12943,9,29.95,-92.17,0
12944,6,32.0,-91.73,0
12945,4,32.43,-92.72,0
12946,9,30.22,-92.02,0
12947,4,33.12,-92.85,2
12948,9,31.3,-92.55,0
12949,11,30.13,-92.48,0
12950,4,33.18,-92.4,1
12951,11,29.95,-91.88,0
12952,12,30.13,-92.48,0
12953,4,33.23,-91.78,1
12954,1,30.08,-92.93,2
12955,5,34.13,-92.83,1
12956,1,30.2,-92.68,1
12957,5,32.6,-92.43,1
12958,1,30.27,-92.53,2
12959,1,30.47,-91.98,1
12960,1,29.95,-92.18,0
12961,1,29.97,-92.0,0
12962,1,30.03,-91.87,1
12963,1,32.82,-91.9,1
12964,1,32.78,-91.9,0
12965,1,33.9,-92.62,1
12966,4,34.5,-91.97,2
12967,4,34.92,-92.15,1
12968,4,34.77,-92.23,1
12969,4,34.73,-92.02,0
12970,7,29.73,-92.35,0
12971,9,30.43,-92.45,0
12972,9,29.9,-92.0,1
12973,10,30.0,-92.2,1
12974,11,32.92,-91.83,1
12975,11,34.67,-92.58,1
12976,11,34.83,-92.52,1
12977,11,32.75,-91.92,0
12978,2,30.97,-91.98,2
12979,2,30.63,-92.4,1
12980,3,30.68,-92.27,1
12981,3,32.43,-92.57,1
12982,7,34.63,-92.1,1
12983,4,31.3,-92.58,1
12984,12,33.73,-92.82,2
12985,12,33.17,-92.9,2
12986,12,34.15,-91.9,1
12987,12,33.4,-92.45,1
12988,12,32.12,-92.57,1
12989,3,32.78,-91.9,1
12990,4,34.15,-92.4,0
12991,4,33.4,-92.85,0
12992,4,33.72,-93.08,3
12993,4,33.72,-92.62,0
12994,4,33.37,-92.77,0
12995,4,33.3,-92.35,0
12996,4,33.35,-91.87,0
12997,4,33.25,-91.88,3
12998,4,32.37,-92.8,0
12999,4,34.55,-92.33,2
13000,4,31.32,-91.53,0
13001,4,29.83,-91.53,1
13002,4,29.83,-90.97,0
13003,5,31.12,-90.95,1
13004,5,29.7,-91.2,1
13005,5,30.58,-91.17,1
13006,7,34.3,-91.13,0
13007,8,30.47,-91.17,1
13008,10,31.67,-90.45,0
13009,11,34.58,-91.5,1
13010,11,34.42,-90.8,1
13011,11,33.12,-91.45,1
13012,12,30.55,-91.55,2
13013,1,34.55,-90.97,1
13014,3,32.47,-91.63,0
13015,4,32.25,-91.22,2
13016,4,32.37,-90.97,2
13017,11,30.53,-91.1,1
13018,11,31.17,-90.65,1
13019,2,32.45,-90.43,0
13020,4,30.37,-90.43,0
13021,5,32.77,-91.27,1
13022,5,30.17,-91.15,0
13023,10,31.65,-91.12,1
13024,10,31.87,-90.9,1
13025,2,33.33,-91.28,1
13026,2,31.95,-90.98,1
13027,4,33.6,-90.87,1
13028,5,33.23,-91.52,0
13029,8,29.55,-90.62,0
13030,10,29.92,-91.03,0
13031,11,34.7,-91.18,0
13032,11,30.93,-90.48,1
13033,11,29.65,-90.55,0
13034,1,29.67,-91.33,1
13035,1,29.75,-90.82,1
13036,1,29.87,-90.6,1
13037,1,32.87,-91.45,0
13038,1,32.85,-91.18,0
13039,1,33.1,-90.5,0
13040,1,33.85,-90.9,1
13041,1,33.75,-90.73,1
13042,1,34.68,-91.27,3
13043,1,34.8,-91.08,0
13044,1,34.93,-91.02,0
13045,1,34.75,-91.62,2
13046,1,32.97,-91.67,1
13047,1,32.97,-91.3,0
13048,1,33.6,-90.82,0
13049,1,31.97,-91.6,3
13050,1,32.05,-91.67,0
13051,1,32.37,-91.2,1
13052,1,33.15,-90.85,1
13053,1,33.38,-91.03,0
13054,1,33.15,-90.53,0
13055,1,33.48,-90.62,2
13056,1,33.67,-90.73,0
13057,1,33.0,-91.27,0
13058,1,31.78,-91.13,0
13059,1,31.97,-90.98,0
13060,1,32.18,-90.62,0
13061,1,31.63,-91.57,0
13062,1,32.33,-90.82,0
13063,1,31.0,-90.52,0
13064,2,30.0,-90.42,1
13065,3,29.93,-91.7,1
13066,3,30.72,-90.48,0
13067,4,32.9,-90.9,0
13068,5,33.15,-90.5,0
13069,12,30.68,-90.5,1
13070,5,34.4,-91.4,0
13071,5,33.73,-90.75,0
13072,7,30.42,-91.1,0
13073,2,29.62,-90.72,1
13074,1,31.1,-91.27,0
13075,5,33.65,-90.73,0
13076,4,31.88,-91.13,2
13077,2,34.88,-91.98,2
13078,4,34.43,-90.5,1
13079,3,29.6,-90.72,2
13080,5,34.08,-91.7,0
13081,6,30.7,-91.15,1
13082,3,29.57,-90.53,1
13083,5,34.07,-91.58,0
13084,6,31.53,-91.1,0
13085,5,34.33,-90.53,1
13086,4,30.77,-91.38,1
13087,5,34.37,-90.52,1
13088,4,30.78,-91.32,1
13089,10,32.37,-91.03,0
13090,5,32.6,-91.48,2
13091,4,30.48,-90.95,1
13092,5,30.45,-91.22,0
13093,4,30.68,-91.12,1
13094,4,30.95,-90.72,1
13095,5,32.73,-91.2,3
13096,10,30.45,-90.67,0
13097,8,30.5,-90.58,1
13098,4,31.13,-90.45,0
13099,10,31.75,-90.65,0
13100,9,29.68,-91.22,1
13101,4,29.85,-90.95,0
13102,10,31.38,-91.12,1
13103,10,31.55,-90.5,0
13104,5,30.23,-90.92,0
13105,10,30.65,-91.15,3
13106,10,31.4,-90.8,1
13107,11,32.8,-91.88,3
13108,10,32.33,-90.88,0
13109,4,34.58,-91.55,2
13110,10,31.57,-90.42,1
13111,11,30.07,-90.48,0
13112,3,33.83,-90.92,0
13113,3,31.32,-90.6,2
13114,11,33.27,-91.32,1
13115,3,32.87,-90.57,2
13116,3,32.75,-90.77,1
13117,11,33.47,-91.1,4
13118,4,32.0,-91.25,1
13119,4,31.82,-90.95,1
13120,5,32.3,-91.07,0
13121,11,33.93,-90.65,1
13122,7,31.2,-91.02,1
13123,8,30.07,-90.48,0
13124,11,33.23,-90.63,3
13125,11,33.68,-90.82,0
13126,11,32.32,-90.43,0
13127,11,31.02,-91.17,2
13128,11,32.25,-91.2,0
13129,12,32.15,-91.23,0
13130,2,29.97,-91.2,2
13131,2,30.03,-90.62,1
13132,12,29.6,-90.72,1
13133,2,30.87,-90.5,2
13134,6,29.87,-91.62,1
13135,3,30.0,-90.72,0
13136,7,30.43,-90.43,0
13137,3,29.48,-90.72,1
13138,2,31.25,-90.47,0
13139,8,30.43,-90.43,0
13140,2,32.85,-91.38,2
13141,10,29.68,-91.0,1
13142,8,29.67,-90.72,0
13143,3,31.95,-90.85,0
13144,10,29.87,-90.97,1
13145,3,31.55,-91.4,1
13146,11,31.85,-91.67,2
13147,10,29.95,-90.5,0
13148,3,31.72,-91.13,1
13149,10,30.68,-91.42,1
13150,1,30.72,-90.5,0
13151,3,31.32,-90.65,1
13152,2,33.63,-91.63,1
13153,10,30.45,-91.15,1
13154,3,30.72,-90.52,1
13155,12,33.48,-91.7,0
13156,11,31.5,-91.4,1
13157,12,34.77,-91.55,0
13158,2,33.68,-91.43,3
13159,11,32.32,-90.57,1
13160,11,31.55,-91.43,1
13161,12,33.87,-91.37,1
13162,11,31.28,-91.38,1
13163,2,33.32,-91.5,0
13164,12,34.08,-91.55,0
13165,2,34.68,-91.62,2
13166,11,31.37,-91.02,1
13167,2,33.33,-91.32,0
13168,12,34.1,-91.52,0
13169,11,31.52,-90.7,1
13170,2,33.5,-91.18,2
13171,12,34.42,-91.55,0
13172,11,31.58,-90.6,2
13173,2,34.08,-91.02,2
13174,11,29.45,-90.67,1
13175,2,33.23,-90.5,0
13176,12,31.33,-90.83,1
13177,3,30.93,-90.52,0
13178,5,33.3,-91.45,0
13179,1,33.67,-90.83,1
13180,12,34.72,-90.9,0
13181,3,30.7,-91.05,1
13182,12,34.05,-91.5,0
13183,5,33.57,-90.93,0
13184,5,30.58,-91.17,1
13185,12,33.87,-91.65,1
13186,5,30.5,-90.58,1
13187,7,29.6,-90.72,1
13188,12,33.97,-91.5,0
13189,9,33.55,-90.8,0
13190,3,32.03,-91.0,0
13191,10,31.17,-90.7,1
13192,4,32.37,-91.63,0
13193,11,32.57,-91.38,1
13194,11,32.48,-91.32,1
13195,4,32.48,-90.87,0
13196,11,31.25,-90.47,1
13197,4,32.65,-90.53,0
13198,11,32.45,-90.88,1
13199,11,32.33,-90.63,1
13200,4,33.18,-90.52,0
13201,11,31.03,-90.67,1
13202,4,31.63,-90.62,2
13203,9,33.12,-91.28,1
13204,11,33.67,-90.83,1
13205,9,33.3,-91.38,1
13206,11,33.88,-90.73,1
13207,4,30.05,-91.05,1
13208,9,31.43,-90.93,0
13209,4,30.1,-91.0,1
13210,11,33.9,-90.53,3
13211,9,31.52,-91.72,0
13212,11,34.07,-90.58,1
